,guid,premise,hypothesis,label
9514,8112734986412,"Two men playing tennis, one is hitting the ball.",The man hitting the ball is in the middle of a serve.,1
9515,8112734986410,"Two men playing tennis, one is hitting the ball.",Two people are playing tennis outdoors.,0
9516,8112734986411,"Two men playing tennis, one is hitting the ball.",The men are watching the ball fly between them.,2
9607,4569866594212,A large crowd of people stand at the start line of a race.,The crowd is at the race,1
9608,4569866594211,A large crowd of people stand at the start line of a race.,The crowd is crying.,2
9609,4569866594210,A large crowd of people stand at the start line of a race.,The large crowd of people are standing at the start,0
9721,4445556418411,Children in an African schoolhouse.,The little African children were crying in the commercial because they could not go to school today.,2
9722,4445556418412,Children in an African schoolhouse.,"The kids in Africa were having a new school house built, courtesy of the great Oprah!",1
9723,4445556418410,Children in an African schoolhouse.,There was a classroom of children in Africa going to school.,0
9733,4445556418010,Children in white and blue uniforms are sitting at their red desks in their green classroom.,The desks don't match the uniforms.,0
9734,4445556418012,Children in white and blue uniforms are sitting at their red desks in their green classroom.,They are in a religious school.,1
9735,4445556418011,Children in white and blue uniforms are sitting at their red desks in their green classroom.,The desks and walls are the same colors.,2
9787,4789495327212,A woman in a white shirt is talking on her yellow cellphone.,The woman likes bright colors.,1
9788,4789495327211,A woman in a white shirt is talking on her yellow cellphone.,The woman prefers dark things.,2
9789,4789495327210,A woman in a white shirt is talking on her yellow cellphone.,The woman has lots of bright items.,0
9829,481827288112,Two brown dog play together in the water.,dogs fight over toy,1
9830,481827288111,Two brown dog play together in the water.,girl follows boy,2
9831,481827288110,Two brown dog play together in the water.,dogs playing,0
9877,3030294889312,Three Orca whales jump in a pool at seaworld.,Three Orca whales are training for a show.,1
9878,3030294889310,Three Orca whales jump in a pool at seaworld.,Three Orca whales are at a resort.,0
9879,3030294889311,Three Orca whales jump in a pool at seaworld.,Three Orca whales and a seal are in the water.,2
9919,2763465196112,A male teen in a white hat looks at a coffee maker at the store.,The teen is getting coffee maker at the store.,1
9920,2763465196110,A male teen in a white hat looks at a coffee maker at the store.,A male teen wears a white hat.,0
9921,2763465196111,A male teen in a white hat looks at a coffee maker at the store.,The teen is looking for his girlfriend.,2
10132,5710348031410,2 men in safety vests haul a hose out of a body of water.,Men are pulling a hose out of the water.,0
10133,5710348031412,2 men in safety vests haul a hose out of a body of water.,Men are pulling a hose out from the reservoir.,1
10134,5710348031411,2 men in safety vests haul a hose out of a body of water.,Men are working on construction in the street.,2
10138,96828131310,Female is bathing in a waterfall while wearing a pink flowered bikini.,Person is submerged in a waterfall while wearing a two piece bathing suit.,0
10139,96828131311,Female is bathing in a waterfall while wearing a pink flowered bikini.,Man is cleaning a knife while wearing a sombrero.,2
10140,96828131312,Female is bathing in a waterfall while wearing a pink flowered bikini.,Blonde woman is washing her hair wearing a bikini with a pattern of Carnations.,1
10300,2135425492012,"Five children are sitting on a sidewalk in front of a glassed in building, with one child holding a bag of items the other children appear to be interested in.",The criminal children are all in front of the building.,1
10301,2135425492010,"Five children are sitting on a sidewalk in front of a glassed in building, with one child holding a bag of items the other children appear to be interested in.",The children are all on the sidewalk in front of the building and one has a bag.,0
10302,2135425492011,"Five children are sitting on a sidewalk in front of a glassed in building, with one child holding a bag of items the other children appear to be interested in.",The kids are all huddling together in the last moments before the apcolypse.,2
10318,3088979938410,A man sitting at his desk in front of a computer,There is a computer in front of a sitting man.,0
10319,3088979938412,A man sitting at his desk in front of a computer,A man sits in front of a computer screen in his office.,1
10320,3088979938411,A man sitting at his desk in front of a computer,A man sits at his friend's desk in front of a computer.,2
10566,3551170666210,The dog and her puppies lay on a blanket.,Dog is sleeping,0
10567,3551170666211,The dog and her puppies lay on a blanket.,Dog eating some snacks,2
10568,3551170666212,The dog and her puppies lay on a blanket.,Dog likes blanket,1
10599,4953536921311,A woman in a swimsuit sitting on a bench with a dog.,A woman walking a dog on the beach.,2
10600,4953536921310,A woman in a swimsuit sitting on a bench with a dog.,A woman and dog on the beach.,0
10601,4953536921312,A woman in a swimsuit sitting on a bench with a dog.,A woman with her pet dog on the beach.,1
10788,4540467837011,"A Large statue in the middle of a park and in front of a large, historic building.",The park is next to a federal building.,2
10789,4540467837012,"A Large statue in the middle of a park and in front of a large, historic building.",The park is only for dogs.,1
10790,4540467837010,"A Large statue in the middle of a park and in front of a large, historic building.",A large statue is in the park.,0
10797,4525101035211,A young man with a pink comb in his hand and headphones on poses for the camera.,Man has a white comb,2
10798,4525101035210,A young man with a pink comb in his hand and headphones on poses for the camera.,Man taking photos,0
10799,4525101035212,A young man with a pink comb in his hand and headphones on poses for the camera.,Man at a photo shoot,1
10982,1399295078411,Two men in suits laugh together.,The two people in suits are exchaning business cards.,2
10983,1399295078410,Two men in suits laugh together.,The two guys are sharing a joyous moment.,0
10984,1399295078412,Two men in suits laugh together.,The two guys in suits are talking and smiling.,1
11030,418913834411,Three young girls are at a table writing.,Three young girls are eating.,2
11031,418913834412,Three young girls are at a table writing.,Three young girls are wriring with crayons.,1
11032,418913834410,Three young girls are at a table writing.,three young girls are sitting.,0
11105,3400889730112,Man outside building holds a sign warning others to repent.,A older bald man waves a sign furiously at bored looking on goers.,1
11106,3400889730111,Man outside building holds a sign warning others to repent.,A man is wearing a sign advertising where to get your taxes done with a sign.,2
11107,3400889730110,Man outside building holds a sign warning others to repent.,A man is outside warning people that god is watching them.,0
11126,4300949836211,A blond girl in a green patterned shirt has her hand raised.,The girl is at a dance party.,2
11127,4300949836210,A blond girl in a green patterned shirt has her hand raised.,The girl is waiting to be called on.,0
11128,4300949836212,A blond girl in a green patterned shirt has her hand raised.,The girl is in a classroom.,1
11357,2892385091410,A few black guys talking to a girl.,Some men were speaking with a woman.,0
11358,2892385091411,A few black guys talking to a girl.,Some people were at the hockey rink.,2
11359,2892385091412,A few black guys talking to a girl.,Some men were talking about football with a girl.,1
